codigo_parroquia,codigo_provincia,provincia,canton,parroquia,provincia_modelo,riesgo_predicho,probabilidad_prediccion,probabilidad_bajo,probabilidad_medio,probabilidad_alto
130452,13,MANABÍ,EL CARMEN,SAN PEDRO DE SUMA,MANABI,Bajo,0.6742,0.6742,0.224,0.1018
130453,13,MANABÍ,EL CARMEN,SANTA MARÍA,MANABI,Bajo,0.7673,0.7673,0.1499,0.0828
130454,13,MANABÍ,EL CARMEN,EL PARAÍSO LA 14,MANABI,Bajo,0.7283,0.7283,0.1249,0.1468
130550,13,MANABÍ,FLAVIO ALFARO,FLAVIO ALFARO,MANABI,Alto,0.453,0.2793,0.2677,0.453
130551,13,MANABÍ,FLAVIO ALFARO,SAN FRANCISCO DE NOVILLO,MANABI,Bajo,0.8746,0.8746,0.1167,0.0087
130552,13,MANABÍ,FLAVIO ALFARO,ZAPALLO,MANABI,Bajo,0.8422,0.8422,0.1523,0.0055
130650,13,MANABÍ,JIPIJAPA,JIPIJAPA,MANABI,Medio,0.7393,0.1596,0.7393,0.1011
130651,13,MANABÍ,JIPIJAPA,AMÉRICA,MANABI,Bajo,0.938,0.938,0.061,0.001
130652,13,MANABÍ,JIPIJAPA,EL ANEGADO,MANABI,Bajo,0.757,0.757,0.2324,0.0107
130653,13,MANABÍ,JIPIJAPA,JULCUY,MANABI,Bajo,0.7689,0.7689,0.2019,0.0292
130654,13,MANABÍ,JIPIJAPA,LA UNIÓN,MANABI,Bajo,0.8636,0.8636,0.1217,0.0147
130656,13,MANABÍ,JIPIJAPA,MEMBRILLAL,MANABI,Bajo,0.8605,0.8605,0.1334,0.0061
130657,13,MANABÍ,JIPIJAPA,PEDRO PABLO GÓMEZ,MANABI,Bajo,0.8634,0.8634,0.1148,0.0218
130658,13,MANABÍ,JIPIJAPA,PUERTO CAYO,MANABI,Bajo,0.6228,0.6228,0.2521,0.1251
130750,13,MANABÍ,JUNÍN,JUNÍN,MANABI,Medio,0.5877,0.1052,0.5877,0.307
130850,13,MANABÍ,MANTA,MANTA,MANABI,Alto,0.8728,0.0445,0.0827,0.8728
130851,13,MANABÍ,MANTA,SAN LORENZO,MANABI,Bajo,0.8705,0.8705,0.124,0.0055
130852,13,MANABÍ,MANTA,SANTA MARIANITA,MANABI,Bajo,0.6387,0.6387,0.3178,0.0434
130950,13,MANABÍ,MONTECRISTI,MONTECRISTI,MANABI,Alto,0.9287,0.0166,0.0547,0.9287
130952,13,MANABÍ,MONTECRISTI,LA PILA,MANABI,Medio,0.7117,0.2321,0.7117,0.0561
131050,13,MANABÍ,PAJÁN,PAJÁN,MANABI,Bajo,0.63,0.63,0.3317,0.0384
131051,13,MANABÍ,PAJÁN,CAMPOZANO,MANABI,Bajo,0.7903,0.7903,0.182,0.0277
131052,13,MANABÍ,PAJÁN,CASCOL,MANABI,Bajo,0.8163,0.8163,0.178,0.0057
131053,13,MANABÍ,PAJÁN,GUALE,MANABI,Bajo,0.7037,0.7037,0.2205,0.0759
131054,13,MANABÍ,PAJÁN,LASCANO,MANABI,Bajo,0.8055,0.8055,0.1891,0.0053
131150,13,MANABÍ,PICHINCHA,PICHINCHA,MANABI,Bajo,0.6722,0.6722,0.1629,0.1649
131151,13,MANABÍ,PICHINCHA,BARRAGANETE,MANABI,Bajo,0.7737,0.7737,0.1632,0.0631
131152,13,MANABÍ,PICHINCHA,SAN SEBASTIÁN,MANABI,Bajo,0.7565,0.7565,0.1883,0.0552
131250,13,MANABÍ,ROCAFUERTE,ROCAFUERTE,MANABI,Alto,0.8372,0.0351,0.1277,0.8372
131350,13,MANABÍ,SANTA ANA,SANTA ANA DE VUELTA LARGA,MANABI,Alto,0.5985,0.1045,0.297,0.5985
131351,13,MANABÍ,SANTA ANA,AYACUCHO,MANABI,Medio,0.7186,0.2678,0.7186,0.0136
131352,13,MANABÍ,SANTA ANA,HONORATO VÁSQUEZ,MANABI,Bajo,0.7639,0.7639,0.2107,0.0253
131353,13,MANABÍ,SANTA ANA,LA UNIÓN,MANABI,Medio,0.7118,0.2721,0.7118,0.0161
131355,13,MANABÍ,SANTA ANA,SAN PABLO,MANABI,Medio,0.63,0.3033,0.63,0.0667
131450,13,MANABÍ,SUCRE,BAHIA DE CARÁQUEZ,MANABI,Medio,0.4816,0.046,0.4816,0.4723
131453,13,MANABÍ,SUCRE,CHARAPOTÓ,MANABI,Alto,0.8474,0.0402,0.1124,0.8474
131457,13,MANABÍ,SUCRE,SAN ISIDRO,MANABI,Medio,0.6182,0.2111,0.6182,0.1706
131550,13,MANABÍ,TOSAGUA,TOSAGUA,MANABI,Alto,0.8238,0.0653,0.1109,0.8238
131551,13,MANABÍ,TOSAGUA,BACHILLERO,MANABI,Bajo,0.6121,0.6121,0.2553,0.1326
131552,13,MANABÍ,TOSAGUA,ÁNGEL PEDRO GILER,MANABI,Bajo,0.4757,0.4757,0.1765,0.3478
131650,13,MANABÍ,24 DE MAYO,SUCRE,MANABI,Medio,0.7471,0.2421,0.7471,0.0108
131651,13,MANABÍ,24 DE MAYO,BELLAVISTA,MANABI,Bajo,0.8657,0.8657,0.133,0.0014
131652,13,MANABÍ,24 DE MAYO,NOBOA,MANABI,Bajo,0.9118,0.9118,0.0847,0.0035
131653,13,MANABÍ,24 DE MAYO,ARQUITECTO SIXTO DURÁN BALLÉN,MANABI,Bajo,0.7882,0.7882,0.2071,0.0048
131750,13,MANABÍ,PEDERNALES,PEDERNALES,MANABI,Alto,0.6822,0.0879,0.2299,0.6822
131751,13,MANABÍ,PEDERNALES,COJIMÍES,MANABI,Medio,0.626,0.246,0.626,0.1279
131752,13,MANABÍ,PEDERNALES,DIEZ DE AGOSTO,MANABI,Bajo,0.6599,0.6599,0.2957,0.0444
131753,13,MANABÍ,PEDERNALES,ATAHUALPA,MANABI,Bajo,0.7466,0.7466,0.198,0.0554
131850,13,MANABÍ,OLMEDO,OLMEDO,MANABI,Medio,0.5402,0.4136,0.5402,0.0462
131950,13,MANABÍ,PUERTO LÓPEZ,PUERTO LÓPEZ,MANABI,Medio,0.68,0.2133,0.68,0.1067
131951,13,MANABÍ,PUERTO LÓPEZ,MACHALILLA,MANABI,Bajo,0.6974,0.6974,0.2351,0.0675
131952,13,MANABÍ,PUERTO LÓPEZ,SALANGO,MANABI,Bajo,0.6213,0.6213,0.313,0.0657
132050,13,MANABÍ,JAMA,JAMA,MANABI,Medio,0.6461,0.2114,0.6461,0.1425
132150,13,MANABÍ,JARAMIJÓ,JARAMIJÓ,MANABI,Medio,0.5208,0.0895,0.5208,0.3897
132250,13,MANABÍ,SAN VICENTE,SAN VICENTE,MANABI,Medio,0.6407,0.168,0.6407,0.1912
132251,13,MANABÍ,SAN VICENTE,CANOA,MANABI,Medio,0.7093,0.2076,0.7093,0.0831
